#Filename  optimal_apeture
1_BD+40.2704_00_R_4.00_2025_06_02-19_19_36.fits   14.0
1_BD+40.2704_01_R_4.00_2025_06_02-19_19_50.fits   14.0
1_BD+40.2704_02_R_4.00_2025_06_02-19_20_04.fits   14.0
1_BD+40.2704_03_R_4.00_2025_06_02-19_20_18.fits   14.0
1_BD+40.2704_04_R_4.00_2025_06_02-19_20_32.fits   15.0
1_BD+40.2704_05_R_4.00_2025_06_02-19_20_46.fits   14.0
1_BD+40.2704_06_R_4.00_2025_06_02-19_21_00.fits   14.0
1_BD+40.2704_07_R_4.00_2025_06_02-19_21_14.fits   14.0
1_BD+40.2704_08_R_4.00_2025_06_02-19_21_28.fits   14.0
1_BD+40.2704_09_R_4.00_2025_06_02-19_21_42.fits   14.0
